Goal Number,Goal Title,Objective
1,No Poverty,"This goal aims to eradicate extreme poverty globally by 2030, targeting those living on less than $1.25 a day. It seeks to cut the proportion of people living in poverty by at least half, improve social protection systems for the poor and vulnerable, and ensure equal access to economic resources and services. Additionally, it aims to enhance resilience against climate and economic shocks, mobilize resources for developing countries, and create supportive policy frameworks to accelerate poverty eradication efforts."
2,Zero Hunger,"This goal focuses on eliminating hunger by 2030, ensuring everyone, especially the poor and vulnerable, has year-round access to nutritious food. It aims to end malnutrition, with specific targets for reducing stunting and wasting in children under five and addressing the nutritional needs of women and older adults. The goal also seeks to double the productivity and incomes of small-scale food producers, enhance sustainable food production systems, and maintain genetic diversity in agriculture. Additionally, it emphasizes increasing investment in rural infrastructure and agricultural research, correcting trade distortions, and stabilizing food markets to reduce price volatility."
3,Good Health and Well-being,"This goal is dedicated to improving health outcomes globally by 2030. It includes reducing maternal mortality rates, ending preventable deaths among newborns and young children, and combating major epidemics like AIDS, tuberculosis, and malaria. It also focuses on reducing premature deaths from non-communicable diseases, addressing substance abuse, and halving deaths from road traffic accidents. Key targets involve ensuring universal access to sexual and reproductive health services, achieving universal health coverage, reducing pollution-related health risks, and enhancing the development of vaccines and medicines. The goal also emphasizes increasing health financing, strengthening the health workforce, and improving early warning and risk management for health threats."
4,Quality Education,"This goal focuses on providing quality education for all by 2030. It aims to ensure that every child completes free, equitable primary and secondary education, and has access to quality early childhood and pre-primary education. The goal also seeks to provide equal access to affordable technical, vocational, and tertiary education for all. Key targets include increasing relevant skills for youth and adults, eliminating gender disparities in education, and ensuring literacy and numeracy for all youth and a significant proportion of adults. Additionally, it emphasizes education for sustainable development and creating safe, inclusive learning environments. It also aims to expand scholarships for developing countries and increase the number of qualified teachers through international cooperation."
5,Gender Equality,"This goal is dedicated to advancing gender equality and empowering women and girls. It seeks to end all forms of discrimination and violence against women and girls, including trafficking and exploitation. It aims to eliminate harmful practices like child marriage and female genital mutilation, and to value unpaid care work through supportive public services and shared family responsibilities. The goal also focuses on ensuring women’s full participation in leadership and decision-making, universal access to sexual and reproductive health services, and equal economic rights, including access to property and financial resources. Additionally, it emphasizes using technology to empower women and implementing strong policies and laws to promote gender equality."
6,Clean Water and Sanitation,"This goal aims to guarantee universal access to safe and affordable drinking water and sanitation by 2030. It focuses on improving water quality by reducing pollution, eliminating hazardous waste, and increasing recycling and safe reuse. The goal also targets enhancing water-use efficiency, managing water resources sustainably, and protecting water-related ecosystems. It emphasizes expanding international support for water and sanitation programs in developing countries and strengthening local community involvement in water and sanitation management."
7,Affordable and Clean Energy,"This goal aims to provide universal access to affordable, reliable, and modern energy services by 2030. It seeks to significantly increase the share of renewable energy in the global energy mix and to double the rate of improvement in energy efficiency. The goal also focuses on enhancing international cooperation for clean energy research and technology, including renewable energy and advanced fossil-fuel technologies. Additionally, it emphasizes expanding infrastructure and upgrading technology to supply modern and sustainable energy services in developing countries, particularly the least developed, small island developing States, and land-locked developing countries."
8,Decent Work and Economic Growth,"This goal focuses on fostering sustained and inclusive economic growth, aiming for at least 7% annual GDP growth in the least developed countries. It seeks to boost economic productivity through diversification, technological advancement, and innovation. The goal promotes policies that support job creation, entrepreneurship, and the formalization of micro, small, and medium-sized enterprises, with a focus on improving global resource efficiency and decoupling growth from environmental harm. It also aims to achieve full and productive employment with decent work for all, including equal pay and protection of labor rights. Additionally, it targets reducing youth unemployment, eradicating forced labor and child labor, promoting sustainable tourism, enhancing financial services access, and increasing aid for trade to support developing countries."
9,Industry  Innovation  and Infrastructure,"This goal aims to develop resilient, sustainable infrastructure to support economic growth and human well-being, ensuring equitable access for all. It promotes inclusive industrialization, targeting a significant increase in industry’s share of employment and GDP, particularly in least developed countries. The goal focuses on improving access to financial services for small-scale enterprises and integrating them into value chains. It also aims to upgrade infrastructure and industries for sustainability, enhance scientific research, and boost technological capabilities, especially in developing countries. Additionally, the goal emphasizes supporting infrastructure development and innovation in developing nations, increasing access to information and communications technology, and ensuring affordable Internet access, particularly in least developed countries."
10,Reduced Inequality,"This goal aims to reduce income inequality and ensure that the bottom 40% of the population experience income growth that exceeds the national average by 2030. It focuses on promoting social, economic, and political inclusion for all, regardless of various personal characteristics and status. The goal seeks to eliminate discriminatory laws and practices, and adopt policies that enhance equality, including fiscal, wage, and social protection measures. It also aims to improve regulation of global financial markets, increase developing countries' representation in global economic decision-making, and facilitate safe and responsible migration. Additionally, the goal emphasizes special treatment for developing countries in trade agreements, encourages financial aid and investment in the most needy states, and aims to reduce transaction costs for migrant remittances."
